Timestamp,ID,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
2025-10-21 15:36:2,0x181,2,0x0,0x0,,,,,,
2025-10-21 15:36:2,0x701,1,0x1,,,,,,,
2025-10-21 15:36:3,0x701,1,0x1,,,,,,,
2025-10-21 15:36:4,0x701,1,0x1,,,,,,,
2025-10-21 15:36:7,0x181,2,0x0,0x0,,,,,,
2025-10-21 15:36:7,0x701,1,0x1,,,,,,,
2025-10-21 15:36:8,0x701,1,0x1,,,,,,,
2025-10-21 15:36:9,0x701,1,0x1,,,,,,,
2025-10-21 15:36:10,0x701,1,0x1,,,,,,,
2025-10-21 15:36:10,0x181,2,0x3,0x0,,,,,,
2025-10-21 15:36:10,0x181,2,0x25,0x0,,,,,,
2025-10-21 15:36:10,0x181,2,0x55,0x0,,,,,,
2025-10-21 15:36:10,0x181,2,0x34,0x0,,,,,,
2025-10-21 15:36:10,0x181,2,0x22,0x0,,,,,,
2025-10-21 15:36:11,0x701,1,0x1,,,,,,,
2025-10-21 15:36:11,0x181,2,0x52,0x0,,,,,,
2025-10-21 15:36:11,0x181,2,0x37,0x0,,,,,,
2025-10-21 15:36:11,0x181,2,0x4C,0x0,,,,,,
2025-10-21 15:36:11,0x181,2,0x7,0x0,,,,,,
2025-10-21 15:36:11,0x181,2,0x0,0x0,,,,,,
2025-10-21 15:36:12,0x701,1,0x1,,,,,,,
2025-10-21 15:36:13,0x701,1,0x1,,,,,,,
2025-10-21 15:36:14,0x701,1,0x1,,,,,,,
2025-10-21 15:36:15,0x701,1,0x1,,,,,,,
2025-10-21 15:36:15,0x181,2,0x1,0x0,,,,,,
2025-10-21 15:36:15,0x181,2,0x0,0x0,,,,,,
2025-10-21 15:36:16,0x701,1,0x1,,,,,,,
2025-10-21 15:36:17,0x701,1,0x1,,,,,,,
2025-10-21 15:36:18,0x701,1,0x1,,,,,,,
2025-10-21 15:36:19,0x701,1,0x1,,,,,,,
2025-10-21 15:36:20,0x701,1,0x1,,,,,,,
