Timestamp,ID,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
2025-10-12 23:7:16,0x181,3,0x0,0x0,0x0,,,,,
2025-10-12 23:7:16,0x701,1,0x1,,,,,,,
2025-10-12 23:7:16,0x181,3,0x2,0x0,0x1,,,,,
2025-10-12 23:7:16,0x701,1,0x1,,,,,,,
2025-10-12 23:7:16,0x181,3,0x4,0x0,0x2,,,,,
2025-10-12 23:7:16,0x701,1,0x1,,,,,,,
2025-10-12 23:7:16,0x181,3,0xE,0x0,0x7,,,,,
2025-10-12 23:7:16,0x181,3,0x10,0x0,0x8,,,,,
2025-10-12 23:7:17,0x701,1,0x1,,,,,,,
2025-10-12 23:7:17,0x181,3,0x12,0x0,0x9,,,,,
2025-10-12 23:7:18,0x701,1,0x1,,,,,,,
2025-10-12 23:7:18,0x181,3,0x14,0x0,0xA,,,,,
2025-10-12 23:7:19,0x701,1,0x1,,,,,,,
2025-10-12 23:7:19,0x181,3,0x16,0x0,0xB,,,,,
2025-10-12 23:7:20,0x701,1,0x1,,,,,,,
2025-10-12 23:7:20,0x181,3,0x18,0x0,0xC,,,,,
2025-10-12 23:7:21,0x701,1,0x1,,,,,,,
2025-10-12 23:7:21,0x181,3,0x1A,0x0,0xD,,,,,
2025-10-12 23:7:22,0x701,1,0x1,,,,,,,
2025-10-12 23:7:22,0x181,3,0x1C,0x0,0xE,,,,,
2025-10-12 23:7:23,0x701,1,0x1,,,,,,,
2025-10-12 23:7:23,0x181,3,0x1E,0x0,0xF,,,,,
2025-10-12 23:7:24,0x701,1,0x1,,,,,,,
2025-10-12 23:7:24,0x181,3,0x20,0x0,0x10,,,,,
2025-10-12 23:7:25,0x701,1,0x1,,,,,,,
2025-10-12 23:7:25,0x181,3,0x22,0x0,0x11,,,,,
2025-10-12 23:7:26,0x701,1,0x1,,,,,,,
2025-10-12 23:7:26,0x181,3,0x24,0x0,0x12,,,,,
2025-10-12 23:7:27,0x701,1,0x1,,,,,,,
2025-10-12 23:7:27,0x181,3,0x26,0x0,0x13,,,,,
2025-10-12 23:7:28,0x701,1,0x1,,,,,,,
2025-10-12 23:7:28,0x181,3,0x28,0x0,0x14,,,,,
2025-10-12 23:7:29,0x701,1,0x1,,,,,,,
2025-10-12 23:7:29,0x181,3,0x2A,0x0,0x15,,,,,
2025-10-12 23:7:30,0x701,1,0x1,,,,,,,
2025-10-12 23:7:30,0x181,3,0x2C,0x0,0x16,,,,,
2025-10-12 23:7:31,0x701,1,0x1,,,,,,,
2025-10-12 23:7:31,0x181,3,0x2E,0x0,0x17,,,,,
2025-10-12 23:7:32,0x701,1,0x1,,,,,,,
2025-10-12 23:7:32,0x181,3,0x30,0x0,0x18,,,,,
2025-10-12 23:7:33,0x701,1,0x1,,,,,,,
2025-10-12 23:7:33,0x181,3,0x32,0x0,0x19,,,,,
2025-10-12 23:7:34,0x701,1,0x1,,,,,,,
2025-10-12 23:7:34,0x181,3,0x34,0x0,0x1A,,,,,
2025-10-12 23:7:35,0x701,1,0x1,,,,,,,
2025-10-12 23:7:35,0x181,3,0x36,0x0,0x1B,,,,,
2025-10-12 23:7:36,0x701,1,0x1,,,,,,,
2025-10-12 23:7:36,0x181,3,0x38,0x0,0x1C,,,,,
2025-10-12 23:7:37,0x701,1,0x1,,,,,,,
2025-10-12 23:7:37,0x181,3,0x3A,0x0,0x1D,,,,,
2025-10-12 23:7:38,0x701,1,0x1,,,,,,,
2025-10-12 23:7:38,0x181,3,0x3C,0x0,0x1E,,,,,
2025-10-12 23:7:39,0x701,1,0x1,,,,,,,
2025-10-12 23:7:39,0x181,3,0x3E,0x0,0x1F,,,,,
