Timestamp,ID,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
2025-10-21 15:38:0,0x181,2,0x1,0x0,,,,,,
2025-10-21 15:38:0,0x701,1,0x1,,,,,,,
2025-10-21 15:38:0,0x181,2,0x0,0x0,,,,,,
2025-10-21 15:38:0,0x701,1,0x1,,,,,,,
2025-10-21 15:38:0,0x701,1,0x1,,,,,,,
2025-10-21 15:38:0,0x701,1,0x1,,,,,,,
2025-10-21 15:38:1,0x701,1,0x1,,,,,,,
2025-10-21 15:38:2,0x701,1,0x1,,,,,,,
2025-10-21 15:38:3,0x701,1,0x1,,,,,,,
2025-10-21 15:38:5,0x181,2,0x0,0x0,,,,,,
2025-10-21 15:38:5,0x701,1,0x1,,,,,,,
2025-10-21 15:38:6,0x701,1,0x1,,,,,,,
2025-10-21 15:38:7,0x701,1,0x1,,,,,,,
2025-10-21 15:38:9,0x181,2,0x0,0x0,,,,,,
2025-10-21 15:38:9,0x701,1,0x1,,,,,,,
2025-10-21 15:38:9,0x181,2,0x4,0x0,,,,,,
2025-10-21 15:38:9,0x181,2,0x1,0x0,,,,,,
2025-10-21 15:38:9,0x181,2,0x0,0x0,,,,,,
2025-10-21 15:38:9,0x181,2,0x4,0x0,,,,,,
2025-10-21 15:38:10,0x701,1,0x1,,,,,,,
2025-10-21 15:38:10,0x181,2,0x6,0x0,,,,,,
2025-10-21 15:38:10,0x181,2,0x1,0x0,,,,,,
2025-10-21 15:38:10,0x181,2,0x6,0x0,,,,,,
2025-10-21 15:38:10,0x181,2,0x3D,0x0,,,,,,
2025-10-21 15:38:11,0x701,1,0x1,,,,,,,
2025-10-21 15:38:11,0x181,2,0x4B,0x0,,,,,,
2025-10-21 15:38:11,0x181,2,0x2A,0x0,,,,,,
2025-10-21 15:38:11,0x181,2,0x54,0x0,,,,,,
2025-10-21 15:38:11,0x181,2,0x34,0x0,,,,,,
2025-10-21 15:38:11,0x181,2,0x12,0x0,,,,,,
2025-10-21 15:38:12,0x701,1,0x1,,,,,,,
2025-10-21 15:38:12,0x181,2,0x24,0x0,,,,,,
2025-10-21 15:38:12,0x181,2,0x12,0x0,,,,,,
2025-10-21 15:38:12,0x181,2,0x33,0x0,,,,,,
2025-10-21 15:38:12,0x181,2,0x2A,0x0,,,,,,
2025-10-21 15:38:12,0x181,2,0x30,0x0,,,,,,
2025-10-21 15:38:13,0x701,1,0x1,,,,,,,
2025-10-21 15:38:13,0x181,2,0x49,0x0,,,,,,
2025-10-21 15:38:13,0x181,2,0x25,0x0,,,,,,
2025-10-21 15:38:13,0x181,2,0x27,0x0,,,,,,
2025-10-21 15:38:13,0x181,2,0x1,0x0,,,,,,
2025-10-21 15:38:14,0x701,1,0x1,,,,,,,
2025-10-21 15:38:14,0x181,2,0x1C,0x0,,,,,,
2025-10-21 15:38:14,0x181,2,0x6,0x0,,,,,,
2025-10-21 15:38:14,0x181,2,0x4C,0x0,,,,,,
2025-10-21 15:38:14,0x181,2,0x0,0x0,,,,,,
